,data,horário,camp.,rodada,dia,local,resultado,gp,gc,oponente,xg,xga,posse,público,capitão,formação,árbitro,relatório da partida,tc,cag,dist,fk,pb,pt,temporada,time
6,2024-04-13,21:00,Série A,Rodada da semana 1,sáb,Visitante,E,2,2,Fluminense,1.2,1.8,31.0,17.645,Cleiton Schwengber,4-3-3,Maguielson Lima Barbosa,Relatório da Partida,16,8,187.0,0.0,0,0,2024,Bragantino
7,2024-04-17,19:00,Série A,Rodada da semana 2,qua,Em casa,V,2,1,Vasco da Gama,0.9,1.2,41.0,,Eduardo Sasha,4-3-3,Paulo Cesar Zanovelli da Silva,Relatório da Partida,17,5,199.0,1.0,0,0,2024,Bragantino
8,2024-04-20,18:30,Série A,Rodada da semana 3,sáb,Em casa,V,1,0,Corinthians,0.5,1.2,35.0,9.466,Cleiton Schwengber,4-3-3,Rafael Rodrigo Klein,Relatório da Partida,10,3,225.0,0.0,0,0,2024,Bragantino
2,2024-04-14,16:00,Série A,Rodada da semana 1,dom,Visitante,V,2.0,1.0,Atl Goianiense,1.2,1.6,67.0,,Giorgian De Arrascaeta,4-2-3-1,André Luiz Skettino Policarpo Bento,Relatório da Partida,14,1,242.0,1.0,1,1,2024,Flamengo
3,2024-04-17,21:30,Série A,Rodada da semana 2,qua,Em casa,V,2.0,1.0,São Paulo,1.3,0.7,47.0,,Bruno Henrique,4-2-3-1,Anderson Daronco,Relatório da Partida,12,6,163.0,0.0,0,0,2024,Flamengo
4,2024-04-21,16:00,Série A,Rodada da semana 3,dom,Visitante,E,0.0,0.0,Palmeiras,0.2,0.4,51.0,29.956,Giorgian De Arrascaeta,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,8,3,233.0,1.0,0,0,2024,Flamengo
6,2024-04-14,17:00,Série A,Rodada da semana 1,dom,Visitante,D,2.0,3.0,Cruzeiro,2.0,1.6,45.0,20.701,Gatito Fernández,4-4-2,Matheus Delgado Candançan,Relatório da Partida,6,3,152.0,0.0,0,0,2024,Botafogo RJ
7,2024-04-18,21:30,Série A,Rodada da semana 2,qui,Em casa,V,1.0,0.0,Atl Goianiense,0.6,0.9,52.0,,Gatito Fernández,4-4-2,Luiz Flávio de Oliveira,Relatório da Partida,13,4,195.0,1.0,0,0,2024,Botafogo RJ
8,2024-04-21,18:30,Série A,Rodada da semana 3,dom,Em casa,V,5.0,1.0,Juventude,2.9,0.3,55.0,,Gatito Fernández,4-4-2,Arthur Gomes Rabelo,Relatório da Partida,12,5,148.0,1.0,1,1,2024,Botafogo RJ
2,2024-04-14,16:00,Série A,Rodada da semana 1,dom,Em casa,V,4.0,0.0,Cuiabá,2.0,0.3,62.0,,Thiago Heleno,4-1-2-1-2◆,Jonathan Benkenstein Pinheiro,Relatório da Partida,20,9,166.0,0.0,0,0,2024,Athletico Paranaense
3,2024-04-17,19:00,Série A,Rodada da semana 2,qua,Visitante,D,0.0,2.0,Grêmio,0.2,1.1,52.0,13.236,Thiago Heleno,4-2-3-1,Marcelo de Lima Henrique,Relatório da Partida,4,0,219.0,0.0,0,0,2024,Athletico Paranaense
4,2024-04-21,16:00,Série A,Rodada da semana 3,dom,Em casa,V,1.0,0.0,Internacional,0.8,1.6,46.0,29.784,Thiago Heleno,4-2-3-1,Felipe Fernandes de Lima,Relatório da Partida,13,3,179.0,0.0,0,0,2024,Athletico Paranaense
2,2024-04-14,16:00,Série A,Rodada da semana 1,dom,Visitante,D,1.0,2.0,Vasco da Gama,1.2,0.9,53.0,,Walter Kannemann,4-2-3-1,Flavio de Souza,Relatório da Partida,9,2,140.0,1.0,0,0,2024,Gremio
3,2024-04-17,19:00,Série A,Rodada da semana 2,qua,Em casa,V,2.0,0.0,Ath Paranaense,1.1,0.2,48.0,13.236,Pedro Geromel,4-3-3,Marcelo de Lima Henrique,Relatório da Partida,14,7,183.0,1.0,0,0,2024,Gremio
4,2024-04-20,18:30,Série A,Rodada da semana 3,sáb,Em casa,V,1.0,0.0,Cuiabá,0.6,1.3,57.0,,Mathías Villasanti,4-2-3-1,Bruno Pereira Vasconcelos,Relatório da Partida,7,4,198.0,0.0,0,0,2024,Gremio
2,2024-04-13,18:30,Série A,Rodada da semana 1,sáb,Em casa,V,2.0,1.0,Bahia,1.6,0.6,52.0,,Renê,4-4-2,Rodrigo José Pereira de Lima,Relatório da Partida,17,9,147.0,0.0,0,0,2024,Internacional
3,2024-04-17,20:00,Série A,Rodada da semana 2,qua,Visitante,V,1.0,0.0,Palmeiras,1.1,1.4,37.0,,Gabriel Mercado,4-2-3-1,Lucas Paulo Torezin,Relatório da Partida,4,2,173.0,0.0,0,1,2024,Internacional
4,2024-04-21,16:00,Série A,Rodada da semana 3,dom,Visitante,D,0.0,1.0,Ath Paranaense,1.6,0.8,54.0,29.784,Renê,4-2-3-1,Felipe Fernandes de Lima,Relatório da Partida,20,3,198.0,1.0,0,0,2024,Internacional
2,2024-04-14,16:00,Série A,Rodada da semana 1,dom,Visitante,E,0.0,0.0,Corinthians,0.3,0.5,53.0,,Hulk,3-4-1-2,Yuri Elino Ferreira da Cruz,Relatório da Partida,8,3,272.0,3.0,0,0,2024,Atletico Mineiro
3,2024-04-17,20:00,Série A,Rodada da semana 2,qua,Em casa,E,1.0,1.0,Criciúma,1.0,0.3,68.0,,Hulk,4-2-3-1,Paulo Belence Alves dos Prazeres Filho,Relatório da Partida,22,6,224.0,1.0,0,0,2024,Atletico Mineiro
4,2024-04-20,21:00,Série A,Rodada da semana 3,sáb,Em casa,V,3.0,0.0,Cruzeiro,1.1,0.8,56.0,39.541,Hulk,4-4-2,Ramon Abatti,Relatório da Partida,9,4,169.0,2.0,0,0,2024,Atletico Mineiro
2,2024-04-13,21:00,Série A,Rodada da semana 1,sáb,Visitante,V,2.0,1.0,São Paulo,0.4,0.5,28.0,35.055,Titi,3-5-2,Alex Gomes Stefano,Relatório da Partida,6,2,220.0,0.0,0,0,2024,Fortaleza
3,2024-04-17,20:00,Série A,Rodada da semana 2,qua,Em casa,E,1.0,1.0,Cruzeiro,0.6,0.8,39.0,,Guilherme Tinga,3-5-2,Bruno Mota Correia,Relatório da Partida,14,3,194.0,1.0,0,0,2024,Fortaleza
0,2024-04-13,18:30,Série A,Rodada da semana 1,sáb,Visitante,D,1.0,2.0,Internacional,0.6,1.6,48.0,,Everton Ribeiro,4-4-2,Rodrigo José Pereira de Lima,Relatório da Partida,9,4,171.0,0.0,0,0,2024,Bahia
1,2024-04-16,21:30,Série A,Rodada da semana 2,ter,Em casa,V,2.0,1.0,Fluminense,1.1,0.4,40.0,23.08,Everton Ribeiro,4-2-3-1,João Vitor Gobi,Relatório da Partida,12,5,187.0,1.0,0,0,2024,Bahia
2,2024-04-21,16:00,Série A,Rodada da semana 3,dom,Visitante,E,2.0,2.0,Vitória,2.1,1.6,58.0,27.609,Everton Ribeiro,4-3-3,Raphael Claus,Relatório da Partida,20,7,196.0,1.0,0,0,2024,Bahia
2,2024-04-13,21:00,Série A,Rodada da semana 1,sáb,Em casa,E,2.0,2.0,Bragantino,1.8,1.2,69.0,17.645,Felipe Melo,4-2-3-1,Maguielson Lima Barbosa,Relatório da Partida,26,11,203.0,1.0,0,0,2024,Fluminense
3,2024-04-16,21:30,Série A,Rodada da semana 2,ter,Visitante,D,1.0,2.0,Bahia,0.4,1.1,60.0,23.08,Fábio,4-2-3-1,João Vitor Gobi,Relatório da Partida,9,3,168.0,0.0,0,0,2024,Fluminense
4,2024-04-20,16:00,Série A,Rodada da semana 3,sáb,Em casa,V,2.0,1.0,Vasco da Gama,1.3,1.9,57.0,,Felipe Melo,4-2-3-1,Wilton Pereira Sampaio,Relatório da Partida,11,8,162.0,1.0,0,0,2024,Fluminense
2,2024-04-14,18:30,Série A,Rodada da semana 1,dom,Visitante,V,1.0,0.0,Vitória,0.8,1.3,43.0,,Luan Garcia,4-2-3-1,Braulio Machado,Relatório da Partida,16,4,240.0,2.0,0,0,2024,Palmeiras
3,2024-04-17,20:00,Série A,Rodada da semana 2,qua,Em casa,D,0.0,1.0,Internacional,1.4,1.1,63.0,,Gustavo Gómez,3-4-3,Lucas Paulo Torezin,Relatório da Partida,18,3,157.0,0.0,0,0,2024,Palmeiras
4,2024-04-21,16:00,Série A,Rodada da semana 3,dom,Em casa,E,0.0,0.0,Flamengo,0.4,0.2,49.0,29.956,Gustavo Gómez,3-4-3,Rodrigo José Pereira de Lima,Relatório da Partida,12,1,234.0,0.0,0,0,2024,Palmeiras
2,2024-04-14,17:00,Série A,Rodada da semana 1,dom,Em casa,V,3.0,2.0,Botafogo (RJ),1.6,2.0,55.0,20.701,Lucas Silva,4-3-3,Matheus Delgado Candançan,Relatório da Partida,15,5,194.0,1.0,0,0,2024,Cruzeiro
3,2024-04-17,20:00,Série A,Rodada da semana 2,qua,Visitante,E,1.0,1.0,Fortaleza,0.8,0.6,61.0,,Lucas Silva,4-3-3,Bruno Mota Correia,Relatório da Partida,14,5,208.0,0.0,0,0,2024,Cruzeiro
4,2024-04-20,21:00,Série A,Rodada da semana 3,sáb,Visitante,D,0.0,3.0,Atlético Mineiro,0.8,1.1,44.0,39.541,Lucas Silva,4-3-3,Ramon Abatti,Relatório da Partida,10,2,191.0,1.0,0,0,2024,Cruzeiro
0,2024-04-13,18:30,Série A,Rodada da semana 1,sáb,Visitante,E,1.0,1.0,Criciúma,0.6,0.7,53.0,,Nenê,4-4-2,Bruno Pereira Vasconcelos,Relatório da Partida,15,4,242.0,1.0,0,0,2024,Juventude
1,2024-04-17,20:00,Série A,Rodada da semana 2,qua,Em casa,V,2.0,0.0,Corinthians,1.5,1.0,44.0,7.478,Nenê,4-4-2,Bruno Arleu,Relatório da Partida,16,8,220.0,0.0,0,0,2024,Juventude
2,2024-04-21,18:30,Série A,Rodada da semana 3,dom,Visitante,D,1.0,5.0,Botafogo (RJ),0.3,2.9,45.0,,Nenê,4-2-3-1,Arthur Gomes Rabelo,Relatório da Partida,12,1,242.0,0.0,0,0,2024,Juventude
2,2024-04-13,21:00,Série A,Rodada da semana 1,sáb,Em casa,D,1.0,2.0,Fortaleza,0.5,0.4,72.0,35.055,Jonathan Calleri,3-4-1-2,Alex Gomes Stefano,Relatório da Partida,14,5,196.0,0.0,0,0,2024,Sao Paulo
3,2024-04-17,21:30,Série A,Rodada da semana 2,qua,Visitante,D,1.0,2.0,Flamengo,0.7,1.3,53.0,,Jonathan Calleri,3-4-3,Anderson Daronco,Relatório da Partida,10,3,187.0,0.0,0,0,2024,Sao Paulo
4,2024-04-21,18:30,Série A,Rodada da semana 3,dom,Visitante,V,3.0,0.0,Atl Goianiense,1.7,0.2,65.0,,Jonathan Calleri,3-4-3,Braulio Machado,Relatório da Partida,18,6,203.0,0.0,1,1,2024,Sao Paulo
0,2024-04-14,16:00,Série A,Rodada da semana 1,dom,Em casa,V,2.0,1.0,Grêmio,0.9,1.2,47.0,,Gary Medel,4-3-3,Flavio de Souza,Relatório da Partida,15,3,168.0,0.0,0,0,2024,Vasco da Gama
1,2024-04-17,19:00,Série A,Rodada da semana 2,qua,Visitante,D,1.0,2.0,Bragantino,1.2,0.9,59.0,,Léo Pelé,4-3-3,Paulo Cesar Zanovelli da Silva,Relatório da Partida,13,3,153.0,0.0,0,0,2024,Vasco da Gama
2,2024-04-20,16:00,Série A,Rodada da semana 3,sáb,Visitante,D,1.0,2.0,Fluminense,1.9,1.3,43.0,,Léo Pelé,4-3-3,Wilton Pereira Sampaio,Relatório da Partida,21,5,158.0,0.0,0,0,2024,Vasco da Gama
0,2024-04-13,18:30,Série A,Rodada da semana 1,sáb,Em casa,E,1.0,1.0,Juventude,0.7,0.6,47.0,,Rodrigo Fagundes,4-3-1-2,Bruno Pereira Vasconcelos,Relatório da Partida,10,3,204.0,0.0,0,0,2024,Criciuma
1,2024-04-17,20:00,Série A,Rodada da semana 2,qua,Visitante,E,1.0,1.0,Atlético Mineiro,0.3,1.0,32.0,,Rodrigo Fagundes,4-3-2-1,Paulo Belence Alves dos Prazeres Filho,Relatório da Partida,5,1,146.0,1.0,0,0,2024,Criciuma
0,2024-04-14,18:30,Série A,Rodada da semana 1,dom,Em casa,D,0.0,1.0,Palmeiras,1.3,0.8,57.0,,Zeca,4-3-3,Braulio Machado,Relatório da Partida,12,5,192.0,0.0,0,0,2024,Vitoria
1,2024-04-21,16:00,Série A,Rodada da semana 3,dom,Em casa,E,2.0,2.0,Bahia,1.6,2.1,42.0,27.609,Zeca,4-4-1-1,Raphael Claus,Relatório da Partida,13,8,174.0,1.0,0,0,2024,Vitoria
2,2024-04-14,16:00,Série A,Rodada da semana 1,dom,Em casa,E,0.0,0.0,Atlético Mineiro,0.5,0.3,47.0,,Cássio,4-2-3-1,Yuri Elino Ferreira da Cruz,Relatório da Partida,14,2,228.0,3.0,0,0,2024,Corinthians
3,2024-04-17,20:00,Série A,Rodada da semana 2,qua,Visitante,D,0.0,2.0,Juventude,1.0,1.5,56.0,7.478,Cássio,4-2-3-1,Bruno Arleu,Relatório da Partida,17,2,179.0,0.0,0,0,2024,Corinthians
4,2024-04-20,18:30,Série A,Rodada da semana 3,sáb,Visitante,D,0.0,1.0,Bragantino,1.2,0.5,65.0,9.466,Cássio,4-2-3-1,Rafael Rodrigo Klein,Relatório da Partida,15,4,205.0,0.0,0,0,2024,Corinthians
0,2024-04-14,16:00,Série A,Rodada da semana 1,dom,Em casa,D,1.0,2.0,Flamengo,1.6,1.2,33.0,,Ronaldo,4-1-3-2,André Luiz Skettino Policarpo Bento,Relatório da Partida,10,4,156.0,0.0,0,1,2024,Atletico Goianiense
1,2024-04-18,21:30,Série A,Rodada da semana 2,qui,Visitante,D,0.0,1.0,Botafogo (RJ),0.9,0.6,48.0,,Ronaldo,4-4-2,Luiz Flávio de Oliveira,Relatório da Partida,12,3,173.0,0.0,0,0,2024,Atletico Goianiense
2,2024-04-21,18:30,Série A,Rodada da semana 3,dom,Em casa,D,0.0,3.0,São Paulo,0.2,1.7,35.0,,Ronaldo,4-4-2,Braulio Machado,Relatório da Partida,9,1,241.0,0.0,0,0,2024,Atletico Goianiense
2,2024-04-14,16:00,Série A,Rodada da semana 1,dom,Visitante,D,0.0,4.0,Ath Paranaense,0.3,2.0,38.0,,Walter,5-4-1,Jonathan Benkenstein Pinheiro,Relatório da Partida,1,0,91.0,0.0,0,0,2024,Cuiaba
3,2024-04-20,18:30,Série A,Rodada da semana 3,sáb,Visitante,D,0.0,1.0,Grêmio,1.3,0.6,43.0,,Walter,5-4-1,Bruno Pereira Vasconcelos,Relatório da Partida,14,3,202.0,0.0,0,0,2024,Cuiaba
1,2023-04-15,16:00,Série A,Rodada da semana 1,sáb,Em casa,V,2,1,Cuiabá,3.0,1.0,52.0,35.835,Gustavo Gómez,4-2-3-1,Paulo Cesar Zanovelli da Silva,Relatório da Partida,17,5,163.0,0.0,0,0,2023,Palmeiras
3,2023-04-23,16:00,Série A,Rodada da semana 2,dom,Visitante,E,2,2,Vasco da Gama,0.7,1.4,64.0,59.867,Gustavo Gómez,4-2-3-1,Rafael Rodrigo Klein,Relatório da Partida,13,7,217.0,2.0,0,0,2023,Palmeiras
4,2023-04-29,18:30,Série A,Rodada da semana 3,sáb,Em casa,V,2,1,Corinthians,1.4,0.5,54.0,41.457,Gustavo Gómez,4-2-3-1,Wilton Sampaio,Relatório da Partida,21,6,202.0,0.0,0,0,2023,Palmeiras
6,2023-05-07,18:30,Série A,Rodada da semana 4,dom,Visitante,V,5,0,Goiás,2.0,0.7,57.0,13.789,Gustavo Gómez,3-4-3,Wagner do Nascimento Magalhães,Relatório da Partida,17,7,158.0,1.0,0,0,2023,Palmeiras
7,2023-05-10,21:30,Série A,Rodada da semana 5,qua,Em casa,V,4,1,Grêmio,3.8,0.1,59.0,37.532,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,27,9,190.0,2.0,1,1,2023,Palmeiras
8,2023-05-13,18:30,Série A,Rodada da semana 6,sáb,Em casa,E,1,1,Bragantino,1.6,1.0,58.0,39.488,Gustavo Gómez,4-2-3-1,Savio Pereira,Relatório da Partida,22,6,173.0,1.0,0,0,2023,Palmeiras
9,2023-05-20,21:00,Série A,Rodada da semana 7,sáb,Visitante,E,0,0,Santos,0.4,0.4,61.0,12.641,Gustavo Gómez,4-2-3-1,Raphael Claus,Relatório da Partida,11,1,244.0,0.0,0,0,2023,Palmeiras
11,2023-05-28,18:30,Série A,Rodada da semana 8,dom,Visitante,E,1,1,Atlético Mineiro,1.1,0.8,43.0,53.236,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,11,2,189.0,1.0,0,0,2023,Palmeiras
12,2023-06-04,18:30,Série A,Rodada da semana 9,dom,Em casa,V,3,1,Coritiba,2.5,0.6,51.0,33.57,Gustavo Gómez,4-2-3-1,Felipe Fernandes de Lima,Relatório da Partida,23,8,162.0,1.0,0,0,2023,Palmeiras
14,2023-06-11,16:00,Série A,Rodada da semana 10,dom,Visitante,V,2,0,São Paulo,0.7,1.4,35.0,56.871,Luan Garcia,4-2-3-1,Raphael Claus,Relatório da Partida,10,4,196.0,0.0,0,0,2023,Palmeiras
15,2023-06-21,21:30,Série A,Rodada da semana 11,qua,Visitante,D,0,1,Bahia,0.8,1.1,54.0,31.013,Gustavo Gómez,4-2-3-1,Wilton Sampaio,Relatório da Partida,10,2,182.0,0.0,0,0,2023,Palmeiras
16,2023-06-25,16:00,Série A,Rodada da semana 12,dom,Em casa,D,0,1,Botafogo (RJ),2.6,0.8,64.0,38.877,Gustavo Gómez,4-2-3-1,Anderson Daronco,Relatório da Partida,14,4,172.0,0.0,0,1,2023,Palmeiras
18,2023-07-02,16:00,Série A,Rodada da semana 13,dom,Visitante,E,2,2,Ath Paranaense,1.6,3.5,46.0,33.118,Gustavo Gómez,3-5-2,Jean Pierre Goncalves Lima,Relatório da Partida,10,4,216.0,1.0,0,1,2023,Palmeiras
19,2023-07-08,21:00,Série A,Rodada da semana 14,sáb,Em casa,E,1,1,Flamengo,1.1,0.8,44.0,40.229,Gustavo Gómez,4-2-3-1,Ramon Abatti,Relatório da Partida,11,4,154.0,0.0,0,0,2023,Palmeiras
20,2023-07-16,18:30,Série A,Rodada da semana 15,dom,Visitante,E,0,0,Internacional,1.4,0.5,53.0,41.823,Gustavo Gómez,4-3-3,Rodrigo José Pereira de Lima,Relatório da Partida,16,5,198.0,2.0,0,0,2023,Palmeiras
21,2023-07-22,16:00,Série A,Rodada da semana 16,sáb,Em casa,V,3,1,Fortaleza,1.4,1.5,63.0,39.699,Gustavo Gómez,4-2-3-1,Rafael Rodrigo Klein,Relatório da Partida,14,7,187.0,2.0,0,0,2023,Palmeiras
22,2023-07-30,16:00,Série A,Rodada da semana 17,dom,Visitante,V,4,1,América (MG),0.9,1.4,51.0,5.928,Gustavo Gómez,4-2-3-1,Braulio Machado,Relatório da Partida,14,7,199.0,0.0,0,0,2023,Palmeiras
24,2023-08-05,21:00,Série A,Rodada da semana 18,sáb,Visitante,D,1,2,Fluminense,1.0,2.6,45.0,77.973,Gustavo Gómez,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,18,5,162.0,0.0,0,0,2023,Palmeiras
26,2023-08-14,19:00,Série A,Rodada da semana 19,seg,Em casa,V,1,0,Cruzeiro,1.4,0.6,52.0,38.555,Gustavo Gómez,4-2-3-1,Wagner do Nascimento Magalhães,Relatório da Partida,12,4,186.0,0.0,0,0,2023,Palmeiras
27,2023-08-19,17:30,Série A,Rodada da semana 20,sáb,Visitante,V,2,0,Cuiabá,1.7,0.7,47.0,19.115,Marcos Rocha,4-2-3-1,André Luiz Skettino Policarpo Bento,Relatório da Partida,18,5,174.0,0.0,0,0,2023,Palmeiras
29,2023-08-27,18:30,Série A,Rodada da semana 21,dom,Em casa,V,1,0,Vasco da Gama,0.7,0.1,55.0,40.292,Gustavo Gómez,4-2-3-1,Wilton Sampaio,Relatório da Partida,13,5,229.0,2.0,0,0,2023,Palmeiras
31,2023-09-03,16:00,Série A,Rodada da semana 22,dom,Visitante,E,0,0,Corinthians,0.7,0.8,57.0,44.371,Gustavo Gómez,4-2-3-1,Anderson Daronco,Relatório da Partida,16,4,246.0,0.0,0,0,2023,Palmeiras
32,2023-09-15,21:30,Série A,Rodada da semana 23,sex,Em casa,V,1,0,Goiás,1.0,0.4,67.0,38.146,Gustavo Gómez,4-2-3-1,Savio Pereira,Relatório da Partida,18,6,185.0,1.0,0,0,2023,Palmeiras
33,2023-09-21,21:30,Série A,Rodada da semana 24,qui,Visitante,D,0,1,Grêmio,1.0,0.4,65.0,29.057,Gustavo Gómez,4-2-3-1,Bruno Arleu,Relatório da Partida,18,4,167.0,2.0,0,0,2023,Palmeiras
35,2023-10-01,18:30,Série A,Rodada da semana 25,dom,Visitante,D,1,2,Bragantino,1.5,2.9,34.0,9.093,Luan Garcia,4-2-3-1,Wagner do Nascimento Magalhães,Relatório da Partida,10,3,164.0,0.0,0,0,2023,Palmeiras
37,2023-10-08,16:00,Série A,Rodada da semana 26,dom,Em casa,D,1,2,Santos,2.1,1.4,69.0,17.049,Gustavo Gómez,4-2-3-1,Flavio de Souza,Relatório da Partida,26,6,170.0,0.0,0,0,2023,Palmeiras
38,2023-10-19,19:00,Série A,Rodada da semana 27,qui,Em casa,D,0,2,Atlético Mineiro,0.7,1.1,56.0,27.718,Gustavo Gómez,4-2-3-1,Bruno Arleu,Relatório da Partida,12,4,212.0,1.0,0,0,2023,Palmeiras
39,2023-10-22,18:30,Série A,Rodada da semana 28,dom,Visitante,V,2,0,Coritiba,1.1,0.6,54.0,19.387,Gustavo Gómez,3-4-1-2,Rafael Rodrigo Klein,Relatório da Partida,19,6,179.0,1.0,0,0,2023,Palmeiras
40,2023-10-25,20:00,Série A,Rodada da semana 29,qua,Em casa,V,5,0,São Paulo,2.4,0.1,46.0,32.618,Gustavo Gómez,4-3-1-2,Raphael Claus,Relatório da Partida,11,7,226.0,0.0,1,1,2023,Palmeiras
41,2023-10-28,19:00,Série A,Rodada da semana 30,sáb,Em casa,V,1,0,Bahia,1.7,0.1,63.0,33.747,Gustavo Gómez,4-3-1-2,Rodrigo José Pereira de Lima,Relatório da Partida,26,9,185.0,2.0,0,0,2023,Palmeiras
42,2023-11-01,21:30,Série A,Rodada da semana 31,qua,Visitante,V,4,3,Botafogo (RJ),1.7,3.5,60.0,34.913,Gustavo Gómez,3-4-1-2,Braulio da Silva Machado,Relatório da Partida,15,6,168.0,1.0,0,0,2023,Palmeiras
43,2023-11-04,21:30,Série A,Rodada da semana 32,sáb,Em casa,V,1,0,Ath Paranaense,1.5,0.6,47.0,17.301,Marcos Rocha,3-4-1-2,Wilton Pereira Sampaio,Relatório da Partida,18,6,161.0,0.0,0,0,2023,Palmeiras
44,2023-11-08,21:30,Série A,Rodada da semana 33,qua,Visitante,D,0,3,Flamengo,1.0,1.4,49.0,64.59,Gustavo Gómez,3-4-1-2,Rodrigo José Pereira de Lima,Relatório da Partida,12,1,180.0,1.0,0,0,2023,Palmeiras
45,2023-11-11,21:00,Série A,Rodada da semana 34,sáb,Em casa,V,3,0,Internacional,1.7,0.7,39.0,19.358,Marcos Rocha,3-4-1-2,Paulo Zanovelli,Relatório da Partida,18,10,217.0,0.0,0,0,2023,Palmeiras
46,2023-11-26,18:30,Série A,Rodada da semana 35,dom,Visitante,E,2,2,Fortaleza,0.8,1.8,62.0,39.504,Gustavo Gómez,3-4-1-2,André Luiz Skettino Policarpo Bento,Relatório da Partida,13,5,209.0,1.0,0,0,2023,Palmeiras
47,2023-11-29,21:30,Série A,Rodada da semana 36,qua,Em casa,V,4,0,América (MG),3.2,0.1,46.0,29.717,Marcos Rocha,4-2-3-1,Wilton Pereira Sampaio,Relatório da Partida,25,12,164.0,1.0,0,0,2023,Palmeiras
48,2023-12-03,16:00,Série A,Rodada da semana 37,dom,Em casa,V,1,0,Fluminense,2.0,0.3,37.0,29.986,Gustavo Gómez,3-4-1-2,Braulio Machado,Relatório da Partida,22,5,202.0,0.0,0,0,2023,Palmeiras
49,2023-12-06,21:30,Série A,Rodada da semana 38,qua,Visitante,E,1,1,Cruzeiro,1.4,1.6,44.0,44.19,Gustavo Gómez,3-4-1-2,Anderson Daronco,Relatório da Partida,8,5,147.0,0.0,0,0,2023,Palmeiras
0,2023-04-16,18:30,Série A,Rodada da semana 1,dom,Em casa,V,1,0,Santos,1.6,1.2,45.0,13.997,Walter Kannemann,4-2-3-1,Wilton Sampaio,Relatório da Partida,16,6,233.0,1.0,0,1,2023,Gremio
1,2023-04-22,21:00,Série A,Rodada da semana 2,sáb,Visitante,D,0,1,Cruzeiro,0.8,1.5,51.0,21.605,Walter Kannemann,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,11,7,211.0,1.0,0,0,2023,Gremio
2,2023-04-30,17:30,Série A,Rodada da semana 3,dom,Visitante,V,2,1,Cuiabá,1.7,1.2,50.0,21.385,Walter Kannemann,4-2-3-1,Bruno Arleu de Araujo,Relatório da Partida,12,6,158.0,0.0,0,0,2023,Gremio
3,2023-05-07,18:30,Série A,Rodada da semana 4,dom,Em casa,E,3,3,Bragantino,1.7,1.8,42.0,23.76,Luis Suárez,4-2-3-1,Paulo Cesar Zanovelli da Silva,Relatório da Partida,10,2,169.0,0.0,1,1,2023,Gremio
4,2023-05-10,21:30,Série A,Rodada da semana 5,qua,Visitante,D,1,4,Palmeiras,0.1,3.8,41.0,37.532,Walter Kannemann,3-4-1-2,Braulio da Silva Machado,Relatório da Partida,3,2,218.0,0.0,0,0,2023,Gremio
5,2023-05-14,16:00,Série A,Rodada da semana 6,dom,Em casa,E,0,0,Fortaleza,0.8,0.6,57.0,17.396,Walter Kannemann,4-2-3-1,Bruno Mota Correia,Relatório da Partida,17,6,183.0,1.0,0,0,2023,Gremio
6,2023-05-21,18:30,Série A,Rodada da semana 7,dom,Em casa,V,3,1,Internacional,1.7,1.5,30.0,39.438,Walter Kannemann,3-4-3,Flavio Rodrigues de Souza,Relatório da Partida,14,6,137.0,0.0,0,0,2023,Gremio
7,2023-05-27,16:00,Série A,Rodada da semana 8,sáb,Visitante,V,2,1,Ath Paranaense,0.7,1.3,34.0,25.966,Bruno Fabiano Alves,3-4-3,Savio Pereira,Relatório da Partida,10,4,184.0,0.0,0,0,2023,Gremio
8,2023-06-04,16:00,Série A,Rodada da semana 9,dom,Em casa,V,2,1,São Paulo,1.9,1.1,40.0,42.207,Walter Kannemann,3-4-3,Wilton Sampaio,Relatório da Partida,20,6,190.0,1.0,1,1,2023,Gremio
9,2023-06-11,18:30,Série A,Rodada da semana 10,dom,Visitante,D,0,3,Flamengo,2.0,1.9,48.0,62.967,Walter Kannemann,5-4-1,Savio Pereira,Relatório da Partida,25,7,157.0,1.0,0,0,2023,Gremio
10,2023-06-22,19:00,Série A,Rodada da semana 11,qui,Em casa,V,3,1,América (MG),2.4,0.8,72.0,15.864,Luis Suárez,4-2-3-1,Edina Alves Batista,Relatório da Partida,22,9,168.0,0.0,0,0,2023,Gremio
11,2023-06-25,16:00,Série A,Rodada da semana 12,dom,Em casa,V,5,1,Coritiba,3.4,1.1,50.0,37.048,Walter Kannemann,4-2-3-1,João Vitor Gobi,Relatório da Partida,16,7,154.0,0.0,1,1,2023,Gremio
12,2023-07-01,18:30,Série A,Rodada da semana 13,sáb,Visitante,V,2,1,Bahia,2.9,1.9,53.0,34.09,Walter Kannemann,5-4-1,Marcelo de Lima Henrique,Relatório da Partida,14,7,135.0,1.0,0,0,2023,Gremio
13,2023-07-09,18:30,Série A,Rodada da semana 14,dom,Em casa,D,0,2,Botafogo (RJ),1.6,1.1,52.0,47.029,Walter Kannemann,3-4-3,Flavio de Souza,Relatório da Partida,22,4,187.0,1.0,0,0,2023,Gremio
